LagTime	Correlation

0	2.10004
0.1	2.09503
0.2	2.08754
0.3	2.07947
0.4	2.07131
0.5	2.06318
0.6	2.0551
0.7	2.04709
0.8	2.03913
0.9	2.03123
1	2.0234
1.1	2.01561
1.2	2.00787
1.3	2.00018
1.4	1.99255
1.5	1.98498
1.6	1.97746
1.7	1.97
1.8	1.9626
1.9	1.95526
2	1.94798
2.1	1.94076
2.2	1.93359
2.3	1.92648
2.4	1.91942
2.5	1.9124
2.6	1.90543
2.7	1.89851
2.8	1.89163
2.9	1.8848
3	1.87802
3.1	1.87128
3.2	1.86458
3.3	1.85794
3.4	1.85133
3.5	1.84477
3.6	1.83824
3.7	1.83176
3.8	1.82532
3.9	1.81893
4	1.81257
4.1	1.80626
4.2	1.79998
4.3	1.79374
4.4	1.78755
4.5	1.7814
4.6	1.77528
4.7	1.7692
4.8	1.76317
4.9	1.75717
5	1.75121
5.1	1.7453
5.2	1.73943
5.3	1.7336
5.4	1.72781
5.5	1.72207
5.6	1.71636
5.7	1.71069
5.8	1.70504
5.9	1.69943
6	1.69386
6.1	1.68834
6.2	1.68284
6.3	1.67738
6.4	1.67195
6.5	1.66655
6.6	1.66119
6.7	1.65586
6.8	1.65056
6.9	1.6453
7	1.64006
7.1	1.63485
7.2	1.62967
7.3	1.62453
7.4	1.61941
7.5	1.61433
7.6	1.60928
7.7	1.60426
7.8	1.59929
7.9	1.59434
8	1.58942
8.1	1.58452
8.2	1.57964
8.3	1.5748
8.4	1.56999
8.5	1.56521
8.6	1.56045
8.7	1.55572
8.8	1.55102
8.9	1.54634
9	1.5417
9.1	1.53708
9.2	1.53249
9.3	1.52792
9.4	1.52337
9.5	1.51884
9.6	1.51435
9.7	1.50988
9.8	1.50544
9.9	1.50102
10	1.49663
10.1	1.49225
10.2	1.4879
10.3	1.48357
10.4	1.47928
10.5	1.475
10.6	1.47076
10.7	1.46655
10.8	1.46236
10.9	1.45819
11	1.45404
11.1	1.44991
11.2	1.4458
11.3	1.44171
11.4	1.43763
11.5	1.43358
11.6	1.42955
11.7	1.42553
11.8	1.42154
11.9	1.41757
12	1.41362
12.1	1.40969
12.2	1.40577
12.3	1.40187
12.4	1.39799
12.5	1.39414
12.6	1.39029
12.7	1.38647
12.8	1.38267
12.9	1.37888
13	1.37511
13.1	1.37136
13.2	1.36763
13.3	1.36391
13.4	1.36021
13.5	1.35653
13.6	1.35287
13.7	1.34923
13.8	1.34561
13.9	1.34201
14	1.33842
14.1	1.33484
14.2	1.33127
14.3	1.32773
14.4	1.3242
14.5	1.32068
14.6	1.31718
14.7	1.3137
14.8	1.31023
14.9	1.30677
15	1.30334
15.1	1.29993
15.2	1.29653
15.3	1.29314
15.4	1.28977
15.5	1.28641
15.6	1.28306
15.7	1.27973
15.8	1.27641
15.9	1.2731
16	1.2698
16.1	1.26651
16.2	1.26324
16.3	1.25997
16.4	1.25671
16.5	1.25346
16.6	1.25023
16.7	1.24702
16.8	1.24382
16.9	1.24064
17	1.23747
17.1	1.23432
17.2	1.23117
17.3	1.22803
17.4	1.2249
17.5	1.22178
17.6	1.21867
17.7	1.21559
17.8	1.21251
17.9	1.20945
18	1.20639
18.1	1.20333
18.2	1.20029
18.3	1.19726
18.4	1.19423
18.5	1.19121
18.6	1.18819
18.7	1.18519
18.8	1.1822
18.9	1.17922
19	1.17626
19.1	1.1733
19.2	1.17036
19.3	1.16742
19.4	1.16449
19.5	1.16158
19.6	1.15867
19.7	1.15578
19.8	1.15291
19.9	1.15004
20	1.14719
20.1	1.14434
20.2	1.14151
20.3	1.13868
20.4	1.13587
20.5	1.13307
20.6	1.13028
20.7	1.12749
20.8	1.12471
20.9	1.12194
21	1.11918
21.1	1.11642
21.2	1.11367
21.3	1.11093
21.4	1.1082
21.5	1.10547
21.6	1.10276
21.7	1.10006
21.8	1.09736
21.9	1.09467
22	1.09199
22.1	1.08932
22.2	1.08666
22.3	1.084
22.4	1.08136
22.5	1.07872
22.6	1.07608
22.7	1.07344
22.8	1.07082
22.9	1.06821
23	1.06561
23.1	1.06303
23.2	1.06045
23.3	1.05788
23.4	1.05532
23.5	1.05277
23.6	1.05021
23.7	1.04767
23.8	1.04515
23.9	1.04263
24	1.04013
24.1	1.03763
24.2	1.03513
24.3	1.03264
24.4	1.03015
24.5	1.02766
24.6	1.02518
24.7	1.02272
24.8	1.02026
24.9	1.01781
25	1.01536
25.1	1.01292
25.2	1.01048
25.3	1.00805
25.4	1.00561
25.5	1.00318
25.6	1.00076
25.7	0.998332
25.8	0.995912
25.9	0.993495
26	0.991083
26.1	0.98868
