LagTime	Correlation

0	3.21722
0.1	3.21222
0.2	3.20473
0.3	3.19666
0.4	3.18849
0.5	3.18033
0.6	3.17221
0.7	3.16414
0.8	3.15612
0.9	3.14815
1	3.14024
1.1	3.13238
1.2	3.12457
1.3	3.1168
1.4	3.10909
1.5	3.10142
1.6	3.09379
1.7	3.08621
1.8	3.07868
1.9	3.0712
2	3.06377
2.1	3.05638
2.2	3.04902
2.3	3.04172
2.4	3.03446
2.5	3.02725
2.6	3.02008
2.7	3.01295
2.8	3.00588
2.9	2.99883
3	2.99184
3.1	2.98488
3.2	2.97796
3.3	2.97109
3.4	2.96426
3.5	2.95748
3.6	2.95074
3.7	2.94404
3.8	2.93737
3.9	2.93073
4	2.92413
4.1	2.91757
4.2	2.91104
4.3	2.90454
4.4	2.89807
4.5	2.89163
4.6	2.88522
4.7	2.87884
4.8	2.87249
4.9	2.86616
5	2.85987
5.1	2.85361
5.2	2.84738
5.3	2.84118
5.4	2.835
5.5	2.82885
5.6	2.82273
5.7	2.81664
5.8	2.81058
5.9	2.80455
6	2.79854
6.1	2.79256
6.2	2.7866
6.3	2.78068
6.4	2.77479
6.5	2.76892
6.6	2.76308
6.7	2.75725
6.8	2.75144
6.9	2.74566
7	2.7399
7.1	2.73417
7.2	2.72846
7.3	2.72278
7.4	2.71712
7.5	2.71149
7.6	2.70588
7.7	2.7003
7.8	2.69474
7.9	2.6892
8	2.68369
8.1	2.6782
8.2	2.67274
8.3	2.6673
8.4	2.66187
8.5	2.65648
8.6	2.6511
8.7	2.64575
8.8	2.64041
8.9	2.63509
9	2.62978
9.1	2.62449
9.2	2.61922
9.3	2.61396
9.4	2.60872
9.5	2.6035
9.6	2.59829
9.7	2.5931
9.8	2.58792
9.9	2.58277
10	2.57763
10.1	2.57251
10.2	2.56741
10.3	2.56231
10.4	2.55723
10.5	2.55216
10.6	2.54712
10.7	2.54209
10.8	2.53707
10.9	2.53207
11	2.5271
11.1	2.52213
11.2	2.51718
11.3	2.51225
11.4	2.50734
11.5	2.50244
11.6	2.49755
11.7	2.49268
11.8	2.48781
11.9	2.48296
12	2.47813
12.1	2.47332
12.2	2.46852
12.3	2.46373
12.4	2.45896
12.5	2.4542
12.6	2.44945
12.7	2.44471
12.8	2.43998
12.9	2.43527
13	2.43057
13.1	2.42589
13.2	2.42122
13.3	2.41657
13.4	2.41193
13.5	2.40731
13.6	2.4027
13.7	2.3981
13.8	2.39351
13.9	2.38893
14	2.38437
14.1	2.37982
14.2	2.37529
14.3	2.37076
14.4	2.36626
14.5	2.36176
14.6	2.35728
14.7	2.35281
14.8	2.34836
14.9	2.34392
15	2.33949
15.1	2.33507
15.2	2.33066
15.3	2.32627
15.4	2.32189
15.5	2.31753
15.6	2.31317
15.7	2.30883
15.8	2.3045
15.9	2.30017
16	2.29586
16.1	2.29157
16.2	2.28728
16.3	2.28301
16.4	2.27876
16.5	2.27451
16.6	2.27028
16.7	2.26605
16.8	2.26184
16.9	2.25765
17	2.25347
17.1	2.24931
17.2	2.24515
17.3	2.241
17.4	2.23686
17.5	2.23274
17.6	2.22864
17.7	2.22456
17.8	2.22048
17.9	2.21642
18	2.21237
18.1	2.20833
18.2	2.20429
18.3	2.20026
18.4	2.19624
18.5	2.19224
18.6	2.18824
18.7	2.18426
18.8	2.1803
18.9	2.17634
19	2.17239
19.1	2.16845
19.2	2.16452
19.3	2.1606
19.4	2.15668
19.5	2.15278
19.6	2.14888
19.7	2.145
19.8	2.14112
19.9	2.13727
20	2.13343
20.1	2.1296
20.2	2.12579
20.3	2.12199
20.4	2.1182
20.5	2.11442
20.6	2.11066
20.7	2.1069
20.8	2.10316
20.9	2.09943
21	2.09571
21.1	2.092
21.2	2.08829
21.3	2.08459
21.4	2.08089
21.5	2.07721
21.6	2.07353
21.7	2.06986
21.8	2.0662
21.9	2.06253
22	2.05888
22.1	2.05524
22.2	2.0516
22.3	2.04798
22.4	2.04437
22.5	2.04075
22.6	2.03715
22.7	2.03354
22.8	2.02993
22.9	2.02634
23	2.02275
23.1	2.01916
23.2	2.01558
23.3	2.01199
23.4	2.00841
23.5	2.00483
23.6	2.00127
23.7	1.9977
23.8	1.99414
23.9	1.99059
24	1.98704
24.1	1.98349
24.2	1.97995
24.3	1.97642
24.4	1.9729
24.5	1.96939
24.6	1.96588
24.7	1.96239
24.8	1.9589
24.9	1.95542
25	1.95194
25.1	1.94847
25.2	1.94501
25.3	1.94156
25.4	1.93812
25.5	1.93468
25.6	1.93124
25.7	1.92782
25.8	1.9244
25.9	1.92099
26	1.91759
26.1	1.9142
26.2	1.91081
26.3	1.90743
26.4	1.90405
26.5	1.90067
26.6	1.8973
26.7	1.89394
26.8	1.89058
26.9	1.88723
27	1.88388
27.1	1.88054
27.2	1.8772
27.3	1.87388
27.4	1.87055
27.5	1.86723
27.6	1.86392
27.7	1.86061
27.8	1.85731
27.9	1.85402
28	1.85073
28.1	1.84745
28.2	1.84418
28.3	1.84091
28.4	1.83765
28.5	1.8344
28.6	1.83117
28.7	1.82794
28.8	1.82472
28.9	1.82151
29	1.8183
29.1	1.81509
29.2	1.81188
29.3	1.80868
29.4	1.80548
29.5	1.80227
29.6	1.79908
29.7	1.79589
29.8	1.7927
29.9	1.78952
30	1.78634
30.1	1.78318
30.2	1.78002
30.3	1.77685
30.4	1.7737
30.5	1.77055
30.6	1.76741
30.7	1.76428
30.8	1.76115
30.9	1.75802
31	1.7549
31.1	1.75179
31.2	1.74868
31.3	1.74559
31.4	1.7425
31.5	1.73941
31.6	1.73631
31.7	1.73322
31.8	1.73013
31.9	1.72704
32	1.72397
32.1	1.7209
32.2	1.71784
32.3	1.7148
32.4	1.71176
32.5	1.70873
32.6	1.70571
32.7	1.70269
32.8	1.69968
32.9	1.69667
33	1.69367
33.1	1.69068
33.2	1.68769
33.3	1.6847
33.4	1.68172
33.5	1.67875
33.6	1.67578
33.7	1.67281
33.8	1.66986
33.9	1.66691
34	1.66398
34.1	1.66105
34.2	1.65812
34.3	1.6552
34.4	1.65228
34.5	1.64937
34.6	1.64646
34.7	1.64356
34.8	1.64067
34.9	1.63779
35	1.63491
35.1	1.63203
35.2	1.62916
35.3	1.62628
35.4	1.62342
35.5	1.62057
35.6	1.61773
35.7	1.61489
35.8	1.61206
35.9	1.60922
36	1.60638
36.1	1.60355
36.2	1.60073
36.3	1.5979
36.4	1.59509
