LagTime	Correlation

0	2.07471
0.1	2.0697
0.2	2.0622
0.3	2.05413
0.4	2.04596
0.5	2.03781
0.6	2.02971
0.7	2.02167
0.8	2.01369
0.9	2.00576
1	1.9979
1.1	1.99011
1.2	1.98238
1.3	1.97471
1.4	1.9671
1.5	1.95954
1.6	1.95204
1.7	1.94459
1.8	1.93719
1.9	1.92985
2	1.92258
2.1	1.91536
2.2	1.90818
2.3	1.90105
2.4	1.89398
2.5	1.88695
2.6	1.87997
2.7	1.87304
2.8	1.86618
2.9	1.85936
3	1.8526
3.1	1.84588
3.2	1.83919
3.3	1.83254
3.4	1.82594
3.5	1.81938
3.6	1.81286
3.7	1.80638
3.8	1.79996
3.9	1.79358
4	1.78723
4.1	1.78093
4.2	1.77467
4.3	1.76845
4.4	1.76227
4.5	1.75612
4.6	1.75002
4.7	1.74395
4.8	1.73793
4.9	1.73194
5	1.72599
5.1	1.72007
5.2	1.7142
5.3	1.70836
5.4	1.70256
5.5	1.6968
5.6	1.69107
5.7	1.68539
5.8	1.67974
5.9	1.67413
6	1.66856
6.1	1.66302
6.2	1.65751
6.3	1.65203
6.4	1.64659
6.5	1.64117
6.6	1.63579
6.7	1.63043
6.8	1.62512
6.9	1.61983
7	1.61459
7.1	1.60937
7.2	1.60418
7.3	1.59902
7.4	1.59389
7.5	1.58879
7.6	1.58373
7.7	1.57869
7.8	1.57369
7.9	1.5687
8	1.56374
8.1	1.55881
8.2	1.5539
8.3	1.54903
8.4	1.54418
8.5	1.53935
8.6	1.53455
8.7	1.52978
8.8	1.52503
8.9	1.5203
9	1.51559
9.1	1.51091
9.2	1.50625
9.3	1.50162
9.4	1.49701
9.5	1.49242
9.6	1.48786
9.7	1.48333
9.8	1.47882
9.9	1.47434
10	1.46988
10.1	1.46544
10.2	1.46102
10.3	1.45662
10.4	1.45224
10.5	1.44788
10.6	1.44355
10.7	1.43924
10.8	1.43495
10.9	1.43069
11	1.42646
11.1	1.42225
11.2	1.41806
11.3	1.41389
11.4	1.40974
11.5	1.40562
11.6	1.40152
11.7	1.39744
11.8	1.39338
11.9	1.38934
12	1.38531
12.1	1.38131
12.2	1.37731
12.3	1.37334
12.4	1.36939
12.5	1.36546
12.6	1.36155
12.7	1.35766
12.8	1.35378
12.9	1.34991
13	1.34606
13.1	1.34223
13.2	1.33842
13.3	1.33462
13.4	1.33085
13.5	1.32709
13.6	1.32334
13.7	1.31961
13.8	1.3159
13.9	1.31221
14	1.30853
14.1	1.30488
14.2	1.30123
14.3	1.29761
14.4	1.29401
14.5	1.29041
14.6	1.28684
14.7	1.28328
14.8	1.27973
14.9	1.27621
15	1.27268
15.1	1.26918
15.2	1.26568
15.3	1.2622
15.4	1.25873
15.5	1.25528
15.6	1.25183
15.7	1.2484
15.8	1.24499
15.9	1.2416
16	1.23823
16.1	1.23488
16.2	1.23154
16.3	1.22822
16.4	1.2249
16.5	1.2216
16.6	1.21831
16.7	1.21504
16.8	1.21178
16.9	1.20855
17	1.20532
17.1	1.20209
17.2	1.19887
17.3	1.19566
17.4	1.19247
17.5	1.18928
17.6	1.18611
17.7	1.18295
17.8	1.17981
17.9	1.17668
18	1.17357
18.1	1.17047
18.2	1.16739
18.3	1.16431
18.4	1.16125
18.5	1.1582
18.6	1.15516
18.7	1.15213
18.8	1.14911
18.9	1.14611
19	1.14312
19.1	1.14014
19.2	1.13716
19.3	1.1342
19.4	1.13123
19.5	1.12828
19.6	1.12534
19.7	1.12241
19.8	1.11949
19.9	1.11659
20	1.11369
20.1	1.1108
20.2	1.10793
20.3	1.10509
20.4	1.10225
20.5	1.09942
20.6	1.09659
20.7	1.09378
20.8	1.09098
20.9	1.08819
21	1.08541
21.1	1.08265
21.2	1.0799
21.3	1.07716
21.4	1.07444
21.5	1.07172
21.6	1.06901
21.7	1.06631
21.8	1.06362
21.9	1.06093
22	1.05825
22.1	1.05559
22.2	1.05293
22.3	1.05029
22.4	1.04765
22.5	1.04502
22.6	1.0424
22.7	1.03978
22.8	1.03718
22.9	1.03459
23	1.03201
23.1	1.02944
23.2	1.02688
23.3	1.02434
23.4	1.0218
23.5	1.01926
23.6	1.01674
23.7	1.01422
23.8	1.01171
23.9	1.0092
24	1.0067
24.1	1.00422
24.2	1.00174
24.3	0.99928
24.4	0.996826
24.5	0.994381
24.6	0.991943
24.7	0.989515
24.8	0.987095
24.9	0.984686
25	0.982287
25.1	0.979898
25.2	0.977514
25.3	0.975134
25.4	0.972753
25.5	0.970379
25.6	0.968008
25.7	0.965641
25.8	0.963281
25.9	0.960936
26	0.958599
26.1	0.956265
26.2	0.953931
26.3	0.951598
26.4	0.949273
26.5	0.946954
26.6	0.944638
26.7	0.942327
26.8	0.940019
26.9	0.93771
27	0.935398
27.1	0.933088
27.2	0.930776
27.3	0.928466
27.4	0.926166
27.5	0.923877
27.6	0.921598
27.7	0.919333
27.8	0.917075
27.9	0.914823
28	0.912583
28.1	0.910348
28.2	0.908125
28.3	0.905914
28.4	0.903716
28.5	0.901533
28.6	0.899365
28.7	0.89721
28.8	0.895059
28.9	0.892911
29	0.890771
29.1	0.888638
29.2	0.886512
29.3	0.884396
29.4	0.882288
29.5	0.880184
29.6	0.878088
29.7	0.876
29.8	0.873919
29.9	0.871844
30	0.869772
30.1	0.867703
30.2	0.865632
30.3	0.863565
30.4	0.861504
30.5	0.859456
30.6	0.857416
30.7	0.855381
30.8	0.853351
30.9	0.851327
31	0.849308
31.1	0.847287
31.2	0.845269
31.3	0.843258
31.4	0.841247
31.5	0.83924
31.6	0.837235
31.7	0.835234
31.8	0.833245
31.9	0.831266
32	0.829294
32.1	0.827331
32.2	0.825375
32.3	0.823427
32.4	0.821485
32.5	0.819548
32.6	0.817616
32.7	0.81569
32.8	0.813768
32.9	0.811854
33	0.809945
33.1	0.808045
33.2	0.806152
33.3	0.804258
33.4	0.802366
33.5	0.800477
33.6	0.798587
33.7	0.796691
33.8	0.794797
33.9	0.792902
34	0.791014
34.1	0.78913
34.2	0.78725
34.3	0.785376
34.4	0.783508
34.5	0.781643
34.6	0.779785
34.7	0.777933
34.8	0.776085
34.9	0.77424
35	0.772399
35.1	0.770558
35.2	0.768723
35.3	0.766894
35.4	0.765065
35.5	0.763245
35.6	0.761436
35.7	0.759637
35.8	0.757845
35.9	0.75606
36	0.754281
36.1	0.752507
36.2	0.750742
36.3	0.748986
36.4	0.747237
36.5	0.745495
36.6	0.743759
36.7	0.742027
36.8	0.740297
36.9	0.738568
37	0.736841
37.1	0.735119
37.2	0.733395
37.3	0.731676
37.4	0.729964
37.5	0.728259
37.6	0.726563
37.7	0.72487
37.8	0.723183
37.9	0.721503
38	0.719827
38.1	0.718157
38.2	0.716495
38.3	0.714839
38.4	0.713196
38.5	0.71156
38.6	0.709926
38.7	0.708293
38.8	0.706668
38.9	0.705049
39	0.703434
39.1	0.701823
39.2	0.700217
39.3	0.698618
39.4	0.697023
39.5	0.69544
39.6	0.693867
39.7	0.692299
39.8	0.690737
39.9	0.689181
40	0.687634
40.1	0.686092
40.2	0.684553
40.3	0.683017
40.4	0.681487
40.5	0.679957
40.6	0.678427
40.7	0.676899
40.8	0.675374
40.9	0.673851
41	0.67233
41.1	0.670814
41.2	0.669302
41.3	0.66779
41.4	0.666277
41.5	0.664768
41.6	0.66326
41.7	0.66176
41.8	0.660266
41.9	0.658771
42	0.657278
42.1	0.655792
42.2	0.65431
42.3	0.652831
42.4	0.651355
42.5	0.649882
42.6	0.648411
42.7	0.646943
42.8	0.645482
42.9	0.644026
43	0.642572
43.1	0.641125
43.2	0.639684
43.3	0.638247
43.4	0.636812
43.5	0.635378
43.6	0.633943
43.7	0.632508
43.8	0.631073
43.9	0.62964
44	0.628209
44.1	0.626779
44.2	0.62535
44.3	0.62392
44.4	0.62249
44.5	0.621059
44.6	0.619635
44.7	0.618214
44.8	0.61679
44.9	0.615368
45	0.613953
45.1	0.612548
45.2	0.611149
45.3	0.609759
45.4	0.608374
45.5	0.606991
45.6	0.605614
45.7	0.604238
45.8	0.602866
45.9	0.601496
46	0.60013
46.1	0.598764
46.2	0.597393
46.3	0.59602
46.4	0.594654
46.5	0.593299
46.6	0.591947
46.7	0.590591
46.8	0.589236
46.9	0.587889
47	0.586551
47.1	0.585218
47.2	0.583894
47.3	0.582577
47.4	0.581266
47.5	0.579957
47.6	0.578647
47.7	0.577341
47.8	0.576032
47.9	0.574722
48	0.573413
48.1	0.572102
48.2	0.570788
48.3	0.569476
48.4	0.568168
48.5	0.566861
48.6	0.565555
48.7	0.564249
48.8	0.562941
48.9	0.561639
49	0.560339
49.1	0.559043
49.2	0.557753
49.3	0.556467
49.4	0.555183
49.5	0.553904
49.6	0.552633
49.7	0.55137
49.8	0.550109
49.9	0.548851
50	0.547596
50.1	0.546345
50.2	0.545096
50.3	0.543853
50.4	0.542617
50.5	0.541385
50.6	0.54016
50.7	0.538937
50.8	0.537714
50.9	0.536492
51	0.535275
51.1	0.53406
51.2	0.532844
51.3	0.531628
51.4	0.530417
51.5	0.529207
51.6	0.527998
51.7	0.526784
51.8	0.525568
51.9	0.524352
52	0.523141
52.1	0.521938
52.2	0.52074
52.3	0.519547
52.4	0.518356
52.5	0.517164
52.6	0.515974
52.7	0.514794
52.8	0.51362
52.9	0.512451
53	0.51129
53.1	0.510136
53.2	0.508983
53.3	0.507833
53.4	0.506687
53.5	0.505546
53.6	0.504409
53.7	0.503278
53.8	0.502155
53.9	0.501037
54	0.499927
54.1	0.498828
54.2	0.497732
54.3	0.496637
54.4	0.495544
54.5	0.494454
54.6	0.493367
54.7	0.492281
54.8	0.49119
54.9	0.490099
55	0.489018
55.1	0.487947
55.2	0.486881
55.3	0.485821
55.4	0.484762
55.5	0.483703
55.6	0.482645
55.7	0.481587
55.8	0.480532
55.9	0.479473
56	0.478415
56.1	0.477358
56.2	0.476305
56.3	0.475251
56.4	0.474195
56.5	0.473138
56.6	0.472083
56.7	0.471029
56.8	0.469977
56.9	0.468928
57	0.467879
57.1	0.466831
57.2	0.465784
57.3	0.464736
57.4	0.463693
57.5	0.462652
57.6	0.461609
57.7	0.460562
57.8	0.459511
57.9	0.458464
58	0.457417
58.1	0.456373
58.2	0.455328
58.3	0.454285
58.4	0.453245
58.5	0.452211
58.6	0.451184
58.7	0.45016
58.8	0.449139
58.9	0.448118
59	0.447097
59.1	0.446076
59.2	0.445055
59.3	0.444036
59.4	0.443021
59.5	0.442009
59.6	0.440997
59.7	0.439987
59.8	0.438979
59.9	0.437969
60	0.436957
60.1	0.435942
60.2	0.434934
60.3	0.433926
60.4	0.432918
60.5	0.431914
60.6	0.430913
60.7	0.429914
60.8	0.42892
60.9	0.427932
61	0.426949
61.1	0.42597
61.2	0.424994
61.3	0.424016
61.4	0.423037
61.5	0.422057
61.6	0.421082
