LagTime	Correlation

0	2.59398
0.1	2.58897
0.2	2.58148
0.3	2.57341
0.4	2.56524
0.5	2.55709
0.6	2.54899
0.7	2.54094
0.8	2.53296
0.9	2.52504
1	2.51718
1.1	2.50937
1.2	2.50163
1.3	2.49394
1.4	2.48631
1.5	2.47873
1.6	2.4712
1.7	2.46371
1.8	2.45628
1.9	2.4489
2	2.44156
2.1	2.43427
2.2	2.42702
2.3	2.41983
2.4	2.41268
2.5	2.40558
2.6	2.39853
2.7	2.39152
2.8	2.38455
2.9	2.37764
3	2.37077
3.1	2.36394
3.2	2.35716
3.3	2.35042
3.4	2.34372
3.5	2.33706
3.6	2.33043
3.7	2.32384
3.8	2.3173
3.9	2.31079
4	2.30432
4.1	2.29789
4.2	2.2915
4.3	2.28515
4.4	2.27884
4.5	2.27257
4.6	2.26632
4.7	2.26011
4.8	2.25394
4.9	2.2478
5	2.2417
5.1	2.23563
5.2	2.2296
5.3	2.2236
5.4	2.21763
5.5	2.2117
5.6	2.2058
5.7	2.19994
5.8	2.19411
5.9	2.18832
6	2.18257
6.1	2.17685
6.2	2.17117
6.3	2.16551
6.4	2.15989
6.5	2.15429
6.6	2.14872
6.7	2.14317
6.8	2.13765
6.9	2.13216
7	2.1267
7.1	2.12126
7.2	2.11585
7.3	2.11047
7.4	2.10512
7.5	2.09979
7.6	2.09449
7.7	2.08921
7.8	2.08396
7.9	2.07873
8	2.07353
8.1	2.06836
8.2	2.06321
8.3	2.05809
8.4	2.05298
8.5	2.0479
8.6	2.04284
8.7	2.03781
8.8	2.0328
8.9	2.02781
9	2.02286
9.1	2.01793
9.2	2.01302
9.3	2.00814
9.4	2.00329
9.5	1.99845
9.6	1.99364
9.7	1.98885
9.8	1.98408
9.9	1.97933
10	1.97459
10.1	1.96988
10.2	1.9652
10.3	1.96053
10.4	1.95589
10.5	1.95125
10.6	1.94664
10.7	1.94205
10.8	1.93748
10.9	1.93294
11	1.92841
11.1	1.9239
11.2	1.91942
11.3	1.91495
11.4	1.9105
