LagTime	Correlation

0	2.03501
0.1	2.03
0.2	2.02251
0.3	2.01445
0.4	2.00629
0.5	1.99815
0.6	1.99007
0.7	1.98204
0.8	1.97408
0.9	1.96618
1	1.95833
1.1	1.95055
1.2	1.94282
1.3	1.93516
1.4	1.92755
1.5	1.92002
1.6	1.91254
1.7	1.90512
1.8	1.89776
1.9	1.89045
2	1.88319
2.1	1.87598
2.2	1.86883
2.3	1.86173
2.4	1.85468
2.5	1.84768
2.6	1.84074
2.7	1.83383
2.8	1.82697
2.9	1.82016
3	1.81339
3.1	1.80668
3.2	1.80001
3.3	1.79339
3.4	1.78682
3.5	1.7803
3.6	1.77382
3.7	1.76739
3.8	1.76102
3.9	1.75468
4	1.74839
4.1	1.74215
4.2	1.73595
4.3	1.72979
4.4	1.72367
4.5	1.7176
4.6	1.71157
4.7	1.70559
4.8	1.69965
4.9	1.69376
5	1.6879
5.1	1.68208
5.2	1.67631
5.3	1.67058
5.4	1.66488
5.5	1.65923
5.6	1.65361
5.7	1.64802
5.8	1.64247
5.9	1.63694
6	1.63146
6.1	1.62601
6.2	1.6206
6.3	1.61522
6.4	1.60987
6.5	1.60456
6.6	1.59928
6.7	1.59403
6.8	1.58881
6.9	1.58363
7	1.57848
7.1	1.57337
7.2	1.56829
7.3	1.56323
7.4	1.5582
7.5	1.55321
7.6	1.54825
7.7	1.54332
7.8	1.53842
7.9	1.53355
8	1.52871
8.1	1.52389
8.2	1.5191
8.3	1.51434
8.4	1.50961
8.5	1.50489
8.6	1.50021
8.7	1.49555
8.8	1.49092
8.9	1.48631
9	1.48174
9.1	1.47719
9.2	1.47267
9.3	1.46817
9.4	1.46371
9.5	1.45926
9.6	1.45484
9.7	1.45044
9.8	1.44607
9.9	1.44172
10	1.4374
10.1	1.4331
10.2	1.42882
10.3	1.42457
10.4	1.42035
10.5	1.41615
10.6	1.41198
10.7	1.40783
10.8	1.4037
10.9	1.3996
11	1.39551
11.1	1.39146
11.2	1.38742
11.3	1.38342
11.4	1.37943
11.5	1.37546
11.6	1.37151
11.7	1.36758
11.8	1.36366
11.9	1.35976
12	1.35588
12.1	1.35201
12.2	1.34817
12.3	1.34434
12.4	1.34053
12.5	1.33674
12.6	1.33296
12.7	1.3292
12.8	1.32547
12.9	1.32175
13	1.31805
13.1	1.31438
13.2	1.31072
13.3	1.30707
13.4	1.30344
13.5	1.29983
13.6	1.29622
13.7	1.29263
13.8	1.28905
13.9	1.28549
14	1.28195
14.1	1.27843
14.2	1.27492
14.3	1.27142
14.4	1.26793
14.5	1.26446
14.6	1.261
14.7	1.25755
14.8	1.25413
14.9	1.25071
15	1.24732
15.1	1.24394
15.2	1.24059
15.3	1.23724
15.4	1.23391
15.5	1.23059
15.6	1.22728
15.7	1.22397
15.8	1.22067
15.9	1.21738
16	1.21411
16.1	1.21085
16.2	1.20761
16.3	1.20438
16.4	1.20117
16.5	1.19798
16.6	1.1948
16.7	1.19165
16.8	1.18851
16.9	1.18538
17	1.18226
17.1	1.17916
17.2	1.17606
17.3	1.17298
17.4	1.16991
17.5	1.16685
17.6	1.16382
17.7	1.16079
17.8	1.15777
17.9	1.15477
18	1.15177
18.1	1.14878
18.2	1.1458
18.3	1.14284
18.4	1.13989
18.5	1.13695
18.6	1.13402
18.7	1.13111
18.8	1.12821
18.9	1.12532
19	1.12244
19.1	1.11958
19.2	1.11672
19.3	1.11387
19.4	1.11103
19.5	1.10819
19.6	1.10536
19.7	1.10254
19.8	1.09972
19.9	1.09692
20	1.09412
20.1	1.09134
20.2	1.08857
20.3	1.08581
20.4	1.08308
20.5	1.08035
20.6	1.07763
20.7	1.07493
20.8	1.07223
20.9	1.06954
21	1.06687
21.1	1.06421
21.2	1.06156
21.3	1.05892
21.4	1.05629
21.5	1.05367
21.6	1.05107
21.7	1.04847
21.8	1.04589
21.9	1.04332
22	1.04075
22.1	1.03819
22.2	1.03565
22.3	1.03312
22.4	1.0306
22.5	1.02809
22.6	1.02559
22.7	1.0231
22.8	1.02062
22.9	1.01816
23	1.0157
23.1	1.01327
23.2	1.01084
23.3	1.00841
23.4	1.00599
23.5	1.00358
23.6	1.00117
23.7	0.998771
23.8	0.996384
23.9	0.994002
24	0.991625
24.1	0.989258
24.2	0.986897
24.3	0.984543
24.4	0.982194
24.5	0.979849
24.6	0.977504
24.7	0.975155
24.8	0.97281
24.9	0.970473
25	0.96814
25.1	0.965815
25.2	0.963501
25.3	0.961192
25.4	0.958888
25.5	0.956588
25.6	0.954292
25.7	0.952005
25.8	0.949725
25.9	0.947458
26	0.945197
26.1	0.942941
26.2	0.940687
26.3	0.938434
26.4	0.93619
26.5	0.933953
26.6	0.931721
26.7	0.929497
26.8	0.927278
26.9	0.925059
27	0.922838
27.1	0.920613
27.2	0.918383
27.3	0.916156
27.4	0.913937
27.5	0.911726
27.6	0.909525
27.7	0.907337
27.8	0.905158
27.9	0.902987
28	0.900825
28.1	0.898671
28.2	0.896528
28.3	0.89439
28.4	0.892261
28.5	0.890135
28.6	0.888018
28.7	0.885909
28.8	0.883813
28.9	0.881729
29	0.879655
29.1	0.877587
29.2	0.875529
29.3	0.873479
29.4	0.87144
29.5	0.86941
29.6	0.867389
29.7	0.86538
29.8	0.86338
29.9	0.861378
30	0.859374
30.1	0.857374
30.2	0.855383
30.3	0.853398
30.4	0.851416
30.5	0.849437
30.6	0.847464
30.7	0.8455
30.8	0.843547
30.9	0.841599
31	0.839657
31.1	0.837724
31.2	0.835799
31.3	0.833878
31.4	0.831965
31.5	0.830061
31.6	0.828168
31.7	0.826281
31.8	0.824406
31.9	0.822542
32	0.820684
32.1	0.818829
32.2	0.816978
32.3	0.815126
32.4	0.813274
32.5	0.811426
32.6	0.809578
32.7	0.807736
32.8	0.805899
32.9	0.804068
33	0.802239
33.1	0.800416
33.2	0.798597
33.3	0.796783
33.4	0.794973
33.5	0.793167
33.6	0.791365
33.7	0.789569
33.8	0.787775
33.9	0.785988
34	0.784208
34.1	0.782432
34.2	0.780661
34.3	0.778898
34.4	0.777144
34.5	0.775391
34.6	0.773639
34.7	0.77189
34.8	0.770144
34.9	0.768402
35	0.766675
35.1	0.764959
35.2	0.763252
35.3	0.761552
35.4	0.759857
35.5	0.758165
35.6	0.756479
35.7	0.754801
35.8	0.753126
35.9	0.751457
36	0.749794
36.1	0.748136
36.2	0.74648
36.3	0.744823
36.4	0.74317
36.5	0.741521
36.6	0.739879
36.7	0.738238
36.8	0.736595
36.9	0.734948
37	0.7333
37.1	0.731651
37.2	0.730009
37.3	0.728372
37.4	0.726738
37.5	0.725105
37.6	0.723474
37.7	0.721848
37.8	0.720224
37.9	0.718605
38	0.716991
38.1	0.715387
38.2	0.713788
38.3	0.712192
38.4	0.710601
38.5	0.70902
38.6	0.707445
38.7	0.705877
38.8	0.70432
38.9	0.70277
39	0.701222
39.1	0.699676
39.2	0.698131
39.3	0.69659
39.4	0.695049
39.5	0.693513
39.6	0.691978
39.7	0.690446
39.8	0.688918
39.9	0.687395
40	0.685877
40.1	0.684361
40.2	0.682851
40.3	0.681348
40.4	0.679851
40.5	0.678359
40.6	0.676873
40.7	0.675387
40.8	0.673909
40.9	0.672434
41	0.670963
41.1	0.669495
41.2	0.668024
41.3	0.666554
41.4	0.665093
41.5	0.663635
41.6	0.662182
41.7	0.660736
41.8	0.659295
41.9	0.657863
42	0.656435
42.1	0.655014
42.2	0.653598
42.3	0.652183
42.4	0.650774
42.5	0.649374
42.6	0.647977
42.7	0.646581
42.8	0.645188
42.9	0.643796
43	0.642407
43.1	0.641017
43.2	0.639625
43.3	0.638238
43.4	0.636857
43.5	0.635479
43.6	0.634108
43.7	0.632742
43.8	0.631379
43.9	0.630024
44	0.628676
44.1	0.627328
44.2	0.625983
44.3	0.624646
44.4	0.623317
44.5	0.621998
44.6	0.620686
44.7	0.619377
44.8	0.61807
44.9	0.616763
45	0.615453
45.1	0.614145
