LagTime	Correlation

0	3.33167
0.1	3.32666
0.2	3.31917
0.3	3.3111
0.4	3.30293
0.5	3.29476
0.6	3.28663
0.7	3.27856
0.8	3.27053
0.9	3.26256
1	3.25464
1.1	3.24677
1.2	3.23896
1.3	3.23121
1.4	3.22351
1.5	3.21586
1.6	3.20826
1.7	3.20071
1.8	3.19322
1.9	3.18578
2	3.17838
2.1	3.17103
2.2	3.16372
2.3	3.15645
2.4	3.14922
2.5	3.14203
2.6	3.13489
2.7	3.1278
2.8	3.12075
2.9	3.11375
3	3.10679
3.1	3.09988
3.2	3.09301
3.3	3.08618
3.4	3.07939
3.5	3.07265
3.6	3.06594
3.7	3.05927
3.8	3.05263
3.9	3.04603
4	3.03945
4.1	3.0329
4.2	3.02639
4.3	3.01991
4.4	3.01346
4.5	3.00704
4.6	3.00065
4.7	2.99429
4.8	2.98795
4.9	2.98166
5	2.9754
5.1	2.96917
5.2	2.96296
5.3	2.95678
5.4	2.95062
5.5	2.94449
5.6	2.93839
5.7	2.93232
5.8	2.92628
5.9	2.92027
6	2.91429
6.1	2.90833
6.2	2.90239
6.3	2.89647
6.4	2.89058
6.5	2.88471
6.6	2.87887
6.7	2.87306
6.8	2.86727
6.9	2.86151
7	2.85578
7.1	2.85007
7.2	2.84439
7.3	2.83874
7.4	2.83312
7.5	2.82752
7.6	2.82194
7.7	2.81638
7.8	2.81085
7.9	2.80535
8	2.79987
8.1	2.79441
8.2	2.78898
8.3	2.78357
8.4	2.77818
8.5	2.77281
8.6	2.76746
8.7	2.76213
8.8	2.75682
8.9	2.75154
9	2.74629
9.1	2.74106
9.2	2.73585
9.3	2.73065
9.4	2.72547
9.5	2.72031
9.6	2.71518
9.7	2.71005
9.8	2.70495
9.9	2.69986
10	2.69479
10.1	2.68975
10.2	2.68472
10.3	2.67972
10.4	2.67473
10.5	2.66976
10.6	2.66481
10.7	2.65988
10.8	2.65497
10.9	2.65008
11	2.6452
11.1	2.64035
11.2	2.63551
11.3	2.63068
11.4	2.62588
11.5	2.62108
11.6	2.6163
11.7	2.61154
11.8	2.60679
11.9	2.60206
12	2.59735
12.1	2.59265
12.2	2.58796
