LagTime	Correlation

0	3.406
0.1	3.40099
0.2	3.3935
0.3	3.38542
0.4	3.37723
0.5	3.36904
0.6	3.3609
0.7	3.3528
0.8	3.34476
0.9	3.33677
1	3.32883
1.1	3.32094
1.2	3.3131
1.3	3.30531
1.4	3.29756
1.5	3.28986
1.6	3.28221
1.7	3.27461
1.8	3.26704
1.9	3.25952
2	3.25204
2.1	3.24461
2.2	3.23723
2.3	3.22989
2.4	3.2226
2.5	3.21535
2.6	3.20815
2.7	3.20099
2.8	3.19387
2.9	3.18678
3	3.17973
3.1	3.17271
3.2	3.16574
3.3	3.1588
3.4	3.1519
3.5	3.14503
3.6	3.13819
3.7	3.13138
3.8	3.12461
3.9	3.11788
4	3.11118
4.1	3.10451
4.2	3.09789
4.3	3.09129
4.4	3.08472
4.5	3.07819
4.6	3.07168
4.7	3.0652
4.8	3.05876
4.9	3.05234
5	3.04595
5.1	3.03959
5.2	3.03325
5.3	3.02694
5.4	3.02067
5.5	3.01443
5.6	3.00822
5.7	3.00204
5.8	2.99589
5.9	2.98976
6	2.98366
6.1	2.97759
6.2	2.97155
6.3	2.96554
6.4	2.95956
6.5	2.95361
6.6	2.94768
6.7	2.94178
6.8	2.9359
6.9	2.93005
7	2.92423
7.1	2.91843
7.2	2.91266
7.3	2.90691
7.4	2.90118
7.5	2.89548
7.6	2.8898
7.7	2.88414
7.8	2.8785
7.9	2.87288
8	2.8673
8.1	2.86173
8.2	2.85619
8.3	2.85067
8.4	2.84517
8.5	2.83969
8.6	2.83424
8.7	2.82879
8.8	2.82336
8.9	2.81795
9	2.81255
9.1	2.80717
9.2	2.8018
9.3	2.79644
9.4	2.7911
9.5	2.78578
9.6	2.78048
9.7	2.77519
9.8	2.76993
9.9	2.76468
10	2.75945
10.1	2.75424
10.2	2.74904
10.3	2.74385
10.4	2.7387
10.5	2.73355
10.6	2.72843
10.7	2.72331
10.8	2.7182
10.9	2.71312
11	2.70805
11.1	2.70299
11.2	2.69796
11.3	2.69296
11.4	2.68797
11.5	2.68299
11.6	2.67803
11.7	2.67309
11.8	2.66816
11.9	2.66325
12	2.65836
12.1	2.65347
12.2	2.6486
12.3	2.64375
12.4	2.63891
12.5	2.63409
12.6	2.62928
12.7	2.6245
12.8	2.61972
12.9	2.61495
13	2.6102
13.1	2.60546
13.2	2.60073
13.3	2.59601
13.4	2.5913
13.5	2.58661
13.6	2.58194
13.7	2.57728
13.8	2.57264
13.9	2.568
14	2.56339
14.1	2.55879
14.2	2.5542
14.3	2.54963
14.4	2.54507
14.5	2.54052
14.6	2.53599
14.7	2.53149
14.8	2.527
14.9	2.52254
15	2.51809
15.1	2.51366
15.2	2.50924
15.3	2.50483
15.4	2.50044
15.5	2.49605
15.6	2.49168
15.7	2.48732
15.8	2.48295
15.9	2.4786
16	2.47427
16.1	2.46994
16.2	2.46562
16.3	2.46131
16.4	2.45701
16.5	2.45271
16.6	2.44842
16.7	2.44415
16.8	2.43988
16.9	2.43563
17	2.43139
17.1	2.42716
17.2	2.42293
17.3	2.41872
17.4	2.41452
17.5	2.41034
17.6	2.40618
17.7	2.40203
17.8	2.39789
17.9	2.39376
18	2.38965
18.1	2.38556
18.2	2.38148
18.3	2.37741
18.4	2.37334
18.5	2.36928
18.6	2.36523
18.7	2.36119
18.8	2.35715
18.9	2.35312
19	2.3491
19.1	2.34509
19.2	2.34108
19.3	2.33707
19.4	2.33307
19.5	2.32908
19.6	2.32509
19.7	2.32111
19.8	2.31714
19.9	2.31317
20	2.30922
20.1	2.30527
20.2	2.30133
20.3	2.2974
20.4	2.29348
20.5	2.28957
20.6	2.28567
20.7	2.28178
20.8	2.27789
20.9	2.27402
21	2.27016
21.1	2.26631
21.2	2.26247
21.3	2.25864
21.4	2.2548
21.5	2.25097
21.6	2.24716
21.7	2.24336
21.8	2.23957
21.9	2.23579
22	2.23201
22.1	2.22825
22.2	2.22449
22.3	2.22076
22.4	2.21703
22.5	2.2133
22.6	2.20957
22.7	2.20586
22.8	2.20214
22.9	2.19843
23	2.19473
23.1	2.19103
23.2	2.18734
23.3	2.18366
23.4	2.17998
23.5	2.17632
23.6	2.17266
23.7	2.16901
23.8	2.16538
23.9	2.16174
24	2.15812
24.1	2.15451
24.2	2.1509
24.3	2.14731
24.4	2.14372
24.5	2.14013
24.6	2.13656
24.7	2.13299
24.8	2.12943
24.9	2.12587
25	2.12232
25.1	2.11878
25.2	2.11524
25.3	2.11171
25.4	2.10818
25.5	2.10467
25.6	2.10117
25.7	2.09767
25.8	2.09418
25.9	2.09069
26	2.0872
26.1	2.08372
26.2	2.08025
26.3	2.07678
26.4	2.07333
26.5	2.06988
26.6	2.06645
26.7	2.06301
26.8	2.05959
26.9	2.05618
27	2.05277
27.1	2.04937
27.2	2.04598
27.3	2.04261
27.4	2.03924
27.5	2.03589
27.6	2.03254
27.7	2.02919
27.8	2.02586
27.9	2.02253
28	2.01921
28.1	2.0159
28.2	2.0126
28.3	2.00929
28.4	2.006
28.5	2.00271
28.6	1.99942
28.7	1.99613
28.8	1.99285
28.9	1.98958
29	1.98631
29.1	1.98304
29.2	1.97978
29.3	1.97654
29.4	1.9733
29.5	1.97006
29.6	1.96683
29.7	1.9636
29.8	1.96038
29.9	1.95717
30	1.95396
30.1	1.95075
30.2	1.94755
30.3	1.94434
30.4	1.94115
30.5	1.93796
30.6	1.93478
30.7	1.93161
30.8	1.92845
30.9	1.9253
31	1.92215
31.1	1.91902
31.2	1.9159
31.3	1.91279
31.4	1.90968
31.5	1.90657
31.6	1.90347
31.7	1.90038
31.8	1.89729
31.9	1.89421
32	1.89114
32.1	1.88808
32.2	1.88502
32.3	1.88197
32.4	1.87893
32.5	1.87591
32.6	1.87289
32.7	1.86987
32.8	1.86686
32.9	1.86386
33	1.86085
33.1	1.85785
33.2	1.85486
33.3	1.85189
33.4	1.84893
33.5	1.84597
33.6	1.84303
33.7	1.84008
33.8	1.83715
33.9	1.83423
34	1.83131
34.1	1.82839
34.2	1.82547
34.3	1.82255
34.4	1.81964
34.5	1.81672
34.6	1.81382
34.7	1.81091
34.8	1.80801
34.9	1.80511
35	1.80222
35.1	1.79933
35.2	1.79645
35.3	1.79357
35.4	1.7907
35.5	1.78783
35.6	1.78497
35.7	1.78211
35.8	1.77926
35.9	1.7764
36	1.77355
36.1	1.7707
