LagTime	Correlation

0	2.96821
0.1	2.9632
0.2	2.95572
0.3	2.94765
0.4	2.93948
0.5	2.93133
0.6	2.92322
0.7	2.91517
0.8	2.90717
0.9	2.89923
1	2.89135
1.1	2.88352
1.2	2.87575
1.3	2.86802
1.4	2.86035
1.5	2.85272
1.6	2.84515
1.7	2.83762
1.8	2.83014
1.9	2.82271
2	2.81532
2.1	2.80798
2.2	2.80068
2.3	2.79343
2.4	2.78622
2.5	2.77906
2.6	2.77193
2.7	2.76486
2.8	2.75783
2.9	2.75084
3	2.74389
3.1	2.73698
3.2	2.73012
3.3	2.7233
3.4	2.71652
3.5	2.70979
3.6	2.70309
3.7	2.69643
3.8	2.68981
3.9	2.68322
4	2.67666
4.1	2.67015
4.2	2.66367
4.3	2.65723
4.4	2.65083
4.5	2.64447
4.6	2.63813
4.7	2.63184
4.8	2.62557
4.9	2.61933
5	2.61313
5.1	2.60695
5.2	2.6008
5.3	2.59469
5.4	2.58861
5.5	2.58256
5.6	2.57655
5.7	2.57057
5.8	2.56462
5.9	2.5587
6	2.5528
6.1	2.54694
6.2	2.5411
6.3	2.53529
6.4	2.5295
6.5	2.52374
6.6	2.51801
6.7	2.51231
6.8	2.50665
6.9	2.50102
7	2.49542
7.1	2.48985
7.2	2.48431
7.3	2.47879
7.4	2.4733
7.5	2.46783
7.6	2.46239
7.7	2.45697
7.8	2.45159
7.9	2.44622
8	2.44087
8.1	2.43555
8.2	2.43026
8.3	2.42498
8.4	2.41973
8.5	2.41449
8.6	2.40929
8.7	2.4041
8.8	2.39895
8.9	2.39381
9	2.38869
9.1	2.38359
9.2	2.3785
9.3	2.37343
9.4	2.36839
9.5	2.36337
9.6	2.35838
9.7	2.35341
9.8	2.34846
9.9	2.34353
10	2.33862
10.1	2.33373
10.2	2.32884
10.3	2.32398
10.4	2.31913
10.5	2.3143
10.6	2.30949
10.7	2.30469
10.8	2.29991
10.9	2.29514
11	2.29039
11.1	2.28565
11.2	2.28093
11.3	2.27622
11.4	2.27153
11.5	2.26686
11.6	2.2622
11.7	2.25756
11.8	2.25294
11.9	2.24833
12	2.24373
12.1	2.23915
12.2	2.23459
12.3	2.23005
12.4	2.22554
12.5	2.22104
12.6	2.21656
12.7	2.2121
12.8	2.20766
12.9	2.20323
13	2.19882
13.1	2.19443
13.2	2.19005
13.3	2.18568
13.4	2.18132
13.5	2.17697
13.6	2.17264
13.7	2.16832
13.8	2.16401
13.9	2.15971
14	2.15543
14.1	2.15116
14.2	2.1469
14.3	2.14266
14.4	2.13844
14.5	2.13424
14.6	2.13005
14.7	2.12586
14.8	2.1217
14.9	2.11754
