LagTime	Correlation

0	1.80281
0.1	1.7978
0.2	1.79031
0.3	1.78226
0.4	1.77411
0.5	1.76599
0.6	1.75792
0.7	1.74993
0.8	1.742
0.9	1.73414
1	1.72634
1.1	1.71861
1.2	1.71095
1.3	1.70334
1.4	1.69579
1.5	1.68831
1.6	1.68088
1.7	1.67352
1.8	1.66622
1.9	1.65899
2	1.65181
2.1	1.64469
2.2	1.63763
2.3	1.63063
2.4	1.62369
2.5	1.6168
2.6	1.60996
2.7	1.60317
2.8	1.59643
2.9	1.58975
3	1.58311
3.1	1.57652
3.2	1.56998
3.3	1.56349
3.4	1.55705
3.5	1.55067
3.6	1.54433
3.7	1.53805
3.8	1.53181
3.9	1.52562
4	1.51947
4.1	1.51337
4.2	1.50731
4.3	1.50129
4.4	1.49532
4.5	1.48938
4.6	1.48348
4.7	1.47762
4.8	1.47181
4.9	1.46603
5	1.46029
5.1	1.45459
5.2	1.44893
5.3	1.4433
5.4	1.43772
5.5	1.43218
5.6	1.42667
5.7	1.42121
5.8	1.41578
5.9	1.4104
6	1.40505
6.1	1.39975
6.2	1.39448
6.3	1.38924
6.4	1.38404
6.5	1.37888
6.6	1.37376
6.7	1.36867
6.8	1.36362
6.9	1.3586
7	1.35361
7.1	1.34866
7.2	1.34374
7.3	1.33885
7.4	1.33401
7.5	1.32919
7.6	1.32441
7.7	1.31965
7.8	1.31492
7.9	1.31022
8	1.30554
8.1	1.30089
8.2	1.29627
8.3	1.29168
8.4	1.28711
8.5	1.28257
8.6	1.27805
8.7	1.27356
8.8	1.26909
8.9	1.26465
9	1.26023
9.1	1.25585
9.2	1.25149
9.3	1.24716
9.4	1.24285
9.5	1.23856
9.6	1.2343
9.7	1.23006
9.8	1.22586
9.9	1.22169
10	1.21753
10.1	1.21341
10.2	1.20931
10.3	1.20524
10.4	1.2012
10.5	1.19719
10.6	1.19319
10.7	1.18922
10.8	1.18525
10.9	1.1813
11	1.17737
11.1	1.17345
11.2	1.16956
11.3	1.16568
11.4	1.16183
11.5	1.15801
11.6	1.15421
11.7	1.15043
11.8	1.14667
11.9	1.14294
12	1.13922
12.1	1.13553
12.2	1.13185
12.3	1.12818
12.4	1.12454
12.5	1.12092
12.6	1.11731
12.7	1.11373
12.8	1.11015
12.9	1.1066
13	1.10305
13.1	1.09953
13.2	1.09601
13.3	1.09251
13.4	1.08903
13.5	1.08558
13.6	1.08214
13.7	1.07872
13.8	1.07531
13.9	1.07192
14	1.06855
14.1	1.0652
14.2	1.06187
14.3	1.05855
14.4	1.05524
14.5	1.05195
14.6	1.04868
14.7	1.04542
14.8	1.04218
14.9	1.03896
15	1.03576
15.1	1.03257
15.2	1.02939
15.3	1.02623
15.4	1.02309
15.5	1.01998
15.6	1.01688
15.7	1.0138
15.8	1.01074
15.9	1.0077
16	1.00467
16.1	1.00166
16.2	0.998662
16.3	0.995676
16.4	0.99271
16.5	0.989757
16.6	0.986817
16.7	0.983888
16.8	0.980974
16.9	0.978073
17	0.975191
17.1	0.972329
17.2	0.969492
17.3	0.966678
17.4	0.963879
17.5	0.961096
17.6	0.958326
17.7	0.95557
17.8	0.952827
17.9	0.950099
18	0.947387
18.1	0.944687
18.2	0.941994
18.3	0.939309
18.4	0.936638
18.5	0.933975
18.6	0.93132
18.7	0.928674
18.8	0.926045
18.9	0.923431
19	0.920832
19.1	0.918245
19.2	0.91567
19.3	0.913106
19.4	0.910555
19.5	0.908013
19.6	0.905481
19.7	0.902959
19.8	0.900447
19.9	0.897945
20	0.895455
20.1	0.892976
20.2	0.890512
20.3	0.888057
20.4	0.885605
20.5	0.88316
20.6	0.880725
20.7	0.8783
20.8	0.875887
20.9	0.873481
21	0.871083
21.1	0.868686
21.2	0.866297
21.3	0.863918
21.4	0.861546
21.5	0.859175
21.6	0.856809
21.7	0.854447
21.8	0.852093
21.9	0.849747
22	0.847409
22.1	0.845087
22.2	0.842775
22.3	0.840473
22.4	0.83818
22.5	0.835893
22.6	0.833618
22.7	0.831358
22.8	0.82911
22.9	0.826872
23	0.824646
23.1	0.822432
23.2	0.820225
23.3	0.818022
23.4	0.81582
23.5	0.813623
23.6	0.811432
23.7	0.809249
23.8	0.80707
23.9	0.804901
24	0.802736
24.1	0.800577
24.2	0.79843
24.3	0.796292
24.4	0.794162
24.5	0.792039
24.6	0.789923
24.7	0.787812
24.8	0.785703
24.9	0.783597
25	0.781499
25.1	0.779415
25.2	0.777342
25.3	0.775277
25.4	0.773221
25.5	0.771171
25.6	0.76913
25.7	0.767095
25.8	0.765062
25.9	0.763031
26	0.761007
26.1	0.758987
26.2	0.756971
26.3	0.754952
26.4	0.752935
26.5	0.750922
26.6	0.748921
26.7	0.746923
26.8	0.744932
26.9	0.74295
27	0.740978
27.1	0.739008
27.2	0.737045
27.3	0.735087
27.4	0.733134
27.5	0.731187
27.6	0.729246
27.7	0.727317
27.8	0.725404
27.9	0.723503
28	0.721609
28.1	0.71972
28.2	0.717835
28.3	0.715956
28.4	0.714086
28.5	0.712225
28.6	0.710374
28.7	0.708534
28.8	0.706706
28.9	0.704883
29	0.703069
29.1	0.70126
29.2	0.699455
29.3	0.697656
29.4	0.69586
29.5	0.694066
29.6	0.692276
29.7	0.690492
29.8	0.688717
29.9	0.686947
30	0.68518
30.1	0.683419
30.2	0.681667
30.3	0.679922
30.4	0.678187
30.5	0.676461
30.6	0.674734
30.7	0.673008
30.8	0.671289
30.9	0.669582
31	0.667884
31.1	0.666192
31.2	0.664505
31.3	0.662827
31.4	0.66116
31.5	0.659504
31.6	0.657855
31.7	0.656206
31.8	0.654559
31.9	0.652911
32	0.651267
32.1	0.649624
32.2	0.647991
32.3	0.646368
32.4	0.644756
32.5	0.643146
32.6	0.641538
32.7	0.639936
32.8	0.638341
32.9	0.636749
33	0.635164
33.1	0.633582
33.2	0.632004
33.3	0.630427
33.4	0.62886
33.5	0.6273
33.6	0.625745
33.7	0.624192
33.8	0.622645
33.9	0.621101
34	0.619558
34.1	0.618021
34.2	0.616489
34.3	0.614957
34.4	0.613433
34.5	0.611912
34.6	0.610401
34.7	0.608896
34.8	0.607402
34.9	0.605912
35	0.60443
35.1	0.602953
35.2	0.601479
35.3	0.600008
35.4	0.598542
35.5	0.597086
35.6	0.595636
35.7	0.594191
35.8	0.592745
35.9	0.591303
36	0.589867
36.1	0.588435
36.2	0.587009
36.3	0.585587
36.4	0.584173
36.5	0.582762
36.6	0.581357
36.7	0.57996
36.8	0.57857
36.9	0.577183
37	0.575798
37.1	0.574414
37.2	0.573033
37.3	0.571659
37.4	0.570285
37.5	0.568915
37.6	0.567548
37.7	0.566184
37.8	0.564822
37.9	0.563464
38	0.562108
38.1	0.560758
38.2	0.559408
38.3	0.558058
38.4	0.556709
38.5	0.555365
38.6	0.554022
38.7	0.552686
38.8	0.551351
38.9	0.550015
39	0.548684
39.1	0.54736
39.2	0.54604
39.3	0.544727
39.4	0.543421
39.5	0.542118
39.6	0.540821
