LagTime	Correlation

0	0.66657
0.1	0.661551
0.2	0.654067
0.3	0.646033
0.4	0.63794
0.5	0.629911
0.6	0.621975
0.7	0.614142
0.8	0.606403
0.9	0.598754
1	0.591202
1.1	0.583747
1.2	0.576385
1.3	0.569115
1.4	0.561934
1.5	0.554846
1.6	0.547848
1.7	0.54094
1.8	0.534118
1.9	0.527381
2	0.520729
2.1	0.514161
2.2	0.507679
2.3	0.501278
2.4	0.494955
2.5	0.488707
2.6	0.482535
2.7	0.47644
2.8	0.470421
2.9	0.464479
3	0.45861
3.1	0.452811
3.2	0.447081
3.3	0.44142
3.4	0.435824
3.5	0.430294
3.6	0.424833
3.7	0.419441
3.8	0.414114
3.9	0.408854
4	0.403662
4.1	0.398535
4.2	0.393474
4.3	0.388479
4.4	0.383549
4.5	0.37868
4.6	0.373872
4.7	0.369123
4.8	0.364437
4.9	0.359816
5	0.355255
5.1	0.350757
5.2	0.346319
5.3	0.341944
5.4	0.337627
5.5	0.333368
5.6	0.32916
5.7	0.324999
5.8	0.32089
5.9	0.316828
6	0.312813
6.1	0.30885
6.2	0.304937
6.3	0.301075
6.4	0.297262
6.5	0.293497
6.6	0.289779
6.7	0.286113
6.8	0.28249
6.9	0.278914
7	0.275389
7.1	0.271911
7.2	0.268485
7.3	0.265108
7.4	0.261779
7.5	0.258493
7.6	0.255249
7.7	0.252047
7.8	0.248887
7.9	0.245773
8	0.242697
8.1	0.239663
8.2	0.236668
8.3	0.233711
8.4	0.230798
8.5	0.227922
8.6	0.225083
8.7	0.222276
8.8	0.219503
8.9	0.216767
9	0.214067
9.1	0.211397
9.2	0.208755
9.3	0.206145
9.4	0.203565
9.5	0.201015
9.6	0.198495
9.7	0.196005
9.8	0.193544
9.9	0.191112
10	0.188709
10.1	0.18634
10.2	0.184
10.3	0.181691
10.4	0.179415
10.5	0.177169
10.6	0.174949
10.7	0.172754
10.8	0.170584
10.9	0.168439
11	0.166319
11.1	0.164225
11.2	0.162153
11.3	0.160105
11.4	0.158084
11.5	0.15609
11.6	0.154126
11.7	0.152192
11.8	0.150282
11.9	0.148394
12	0.146526
12.1	0.144685
12.2	0.142868
12.3	0.141073
12.4	0.139294
12.5	0.137538
12.6	0.135806
12.7	0.134098
12.8	0.132407
12.9	0.130734
13	0.129075
13.1	0.127441
13.2	0.125826
13.3	0.124232
13.4	0.122659
13.5	0.121107
13.6	0.119579
13.7	0.118078
13.8	0.116598
13.9	0.115136
14	0.113686
14.1	0.112254
14.2	0.110842
14.3	0.109449
14.4	0.108074
14.5	0.106716
14.6	0.105371
14.7	0.104043
14.8	0.102733
14.9	0.101443
15	0.10017
15.1	0.0989124
15.2	0.0976646
15.3	0.096428
15.4	0.095201
15.5	0.0939913
15.6	0.0928003
15.7	0.0916208
15.8	0.0904508
15.9	0.0892897
16	0.0881327
16.1	0.0869874
16.2	0.0858574
16.3	0.0847435
16.4	0.0836485
16.5	0.0825708
16.6	0.081511
16.7	0.0804622
16.8	0.07943
16.9	0.0784092
17	0.0774037
17.1	0.0764133
17.2	0.0754386
17.3	0.0744791
17.4	0.0735304
17.5	0.0725933
17.6	0.0716689
17.7	0.0707597
17.8	0.0698618
17.9	0.0689718
18	0.0680901
18.1	0.0672209
18.2	0.0663643
18.3	0.0655204
18.4	0.0646872
18.5	0.0638709
18.6	0.0630739
18.7	0.0622879
18.8	0.0615064
18.9	0.0607322
19	0.059964
19.1	0.0592052
19.2	0.0584539
19.3	0.0577107
19.4	0.0569813
19.5	0.0562579
19.6	0.0555389
19.7	0.0548278
19.8	0.0541308
19.9	0.0534478
20	0.0527772
20.1	0.0521211
20.2	0.0514768
20.3	0.0508415
20.4	0.0502111
20.5	0.0495855
20.6	0.0489627
20.7	0.0483438
20.8	0.0477356
20.9	0.0471351
21	0.0465409
21.1	0.0459554
21.2	0.045381
21.3	0.0448181
21.4	0.0442666
21.5	0.0437223
21.6	0.043184
21.7	0.0426487
21.8	0.0421152
21.9	0.0415848
22	0.0410629
22.1	0.0405525
22.2	0.0400493
22.3	0.0395453
22.4	0.0390422
22.5	0.0385433
22.6	0.0380508
22.7	0.037566
22.8	0.0370846
22.9	0.0366079
23	0.0361371
23.1	0.0356717
23.2	0.035209
23.3	0.034751
23.4	0.0342973
23.5	0.0338517
23.6	0.0334108
23.7	0.0329778
23.8	0.032556
23.9	0.032143
24	0.0317375
24.1	0.0313351
24.2	0.0309405
24.3	0.030554
24.4	0.0301784
24.5	0.0298091
24.6	0.0294423
24.7	0.0290846
24.8	0.0287382
24.9	0.0284082
25	0.0280933
25.1	0.0277886
25.2	0.0274912
25.3	0.027196
25.4	0.0269027
25.5	0.0266088
25.6	0.0263139
25.7	0.0260205
25.8	0.0257333
25.9	0.0254477
26	0.0251655
26.1	0.0248894
26.2	0.0246175
26.3	0.0243495
26.4	0.0240862
26.5	0.023827
26.6	0.0235711
26.7	0.0233162
26.8	0.0230635
26.9	0.0228155
27	0.0225659
27.1	0.0223176
27.2	0.0220723
27.3	0.0218301
