LagTime	Correlation

0	0.670087
0.1	0.665068
0.2	0.657587
0.3	0.649561
0.4	0.641475
0.5	0.633458
0.6	0.625536
0.7	0.617713
0.8	0.609994
0.9	0.602379
1	0.594865
1.1	0.587447
1.2	0.58012
1.3	0.57288
1.4	0.565725
1.5	0.558657
1.6	0.551678
1.7	0.544786
1.8	0.53798
1.9	0.531261
2	0.52463
2.1	0.518084
2.2	0.511624
2.3	0.505247
2.4	0.49895
2.5	0.492731
2.6	0.48659
2.7	0.480532
2.8	0.474557
2.9	0.468658
3	0.462841
3.1	0.457101
3.2	0.451433
3.3	0.445835
3.4	0.440307
3.5	0.434845
3.6	0.429447
3.7	0.424117
3.8	0.418857
3.9	0.413659
4	0.408527
4.1	0.403459
4.2	0.398456
4.3	0.393517
4.4	0.388643
4.5	0.383823
4.6	0.379057
4.7	0.374345
4.8	0.369692
4.9	0.365092
5	0.360546
5.1	0.356053
5.2	0.351617
5.3	0.347242
5.4	0.342923
5.5	0.338657
5.6	0.334449
5.7	0.330297
5.8	0.326201
5.9	0.32216
6	0.318171
6.1	0.31423
6.2	0.310334
6.3	0.306484
6.4	0.302682
6.5	0.298922
6.6	0.295206
6.7	0.291533
6.8	0.287904
6.9	0.284319
7	0.280782
7.1	0.277291
7.2	0.273846
7.3	0.270449
7.4	0.267101
7.5	0.263797
7.6	0.260535
7.7	0.257315
7.8	0.254132
7.9	0.25099
8	0.247887
8.1	0.244822
8.2	0.2418
8.3	0.23882
8.4	0.23588
8.5	0.232981
8.6	0.23012
8.7	0.227299
8.8	0.22451
8.9	0.22176
9	0.219046
9.1	0.216369
9.2	0.213726
9.3	0.211116
9.4	0.208539
9.5	0.205992
9.6	0.203473
9.7	0.200981
9.8	0.198519
9.9	0.196084
10	0.193677
10.1	0.191296
10.2	0.188939
10.3	0.186615
10.4	0.184322
10.5	0.182058
10.6	0.179825
10.7	0.177625
10.8	0.175457
10.9	0.173313
11	0.171196
11.1	0.169096
11.2	0.167024
11.3	0.164975
11.4	0.162955
11.5	0.160965
11.6	0.158999
11.7	0.157056
11.8	0.155137
11.9	0.153239
12	0.151366
12.1	0.149513
12.2	0.147683
12.3	0.145873
12.4	0.144085
12.5	0.142321
12.6	0.140579
12.7	0.138856
12.8	0.137156
12.9	0.135478
13	0.133819
13.1	0.132183
13.2	0.130565
13.3	0.128965
13.4	0.127381
13.5	0.125815
13.6	0.124269
13.7	0.122742
13.8	0.12123
13.9	0.119735
14	0.118258
14.1	0.116799
14.2	0.11536
14.3	0.113937
14.4	0.112531
14.5	0.111143
14.6	0.109772
14.7	0.108418
14.8	0.107082
14.9	0.105766
15	0.104467
15.1	0.103187
15.2	0.101926
15.3	0.100677
15.4	0.0994434
15.5	0.0982221
15.6	0.0970166
15.7	0.095832
15.8	0.0946683
15.9	0.0935239
16	0.0923887
16.1	0.0912606
16.2	0.0901445
16.3	0.0890391
16.4	0.0879453
16.5	0.0868673
16.6	0.085803
16.7	0.0847523
